Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;58.9217677855014
EMITTED_CO2;2;1;1;LL;30.534689085288864
EMITTED_CO2;3;1;1;LL;29.53882830470502
EMITTED_CO2;4;1;1;LL;20.692088223847165
EMITTED_CO2;5;1;1;LL;52.823701968926684
EMITTED_CO2;6;1;1;LL;30.53458132769024
EMITTED_CO2;7;1;1;LL;52.38110503784783
EMITTED_CO2;8;1;1;LL;29.47301119611645
EMITTED_CO2;9;1;1;LL;40.3098776793866
EMITTED_CO2;10;1;1;LL;29.5970160268732
EMITTED_CO2;11;1;1;LL;30.440267014280074
EMITTED_CO2;12;1;1;LL;13.276062693108392
EMITTED_CO2;13;1;1;LL;29.519457747370176
EMITTED_CO2;14;1;1;LL;30.510347413454777
EMITTED_CO2;15;1;1;LL;41.159511372696095
EMITTED_CO2;16;1;1;LL;29.56472721002472
EMITTED_CO2;17;1;1;LL;30.546877414322577
EMITTED_CO2;18;1;1;LL;27.16760516167327
EMITTED_CO2;19;1;1;LL;34.64266532151769
EMITTED_CO2;20;1;1;LL;18.768066470739917
EMITTED_CO2;21;1;1;LL;30.443616474182512
EMITTED_CO2;22;1;1;LL;30.524541328313692
EMITTED_CO2;23;1;1;LL;29.525845349409487
EMITTED_CO2;24;1;1;LL;30.520288751653357
EMITTED_CO2;25;1;1;LL;21.079981442881795
EMITTED_CO2;26;1;1;LL;51.17284713767663
EMITTED_CO2;27;1;1;LL;49.608127289645935
EMITTED_CO2;28;1;1;LL;27.77827728839424
EMITTED_CO2;29;1;1;LL;28.50566420856151
EMITTED_CO2;30;1;1;LL;29.54690023999641
EMITTED_CO2;31;1;1;LL;30.53374690602549
