OID;Grid_id;RESOURCE;TRANSPORT_COEFF;TRANSPORT_EMISS
CID75;1;OLIVINE;0.0106421379115044;0.05222500838
CID76;2;OLIVINE;0.0050650853079646;0.02294179055
CID77;3;OLIVINE;0.0069167631840707;0.02707950364
CID78;4;OLIVINE;0.0193158286725663;0.0547861454
CID79;5;OLIVINE;0.0081361938433628;0.03238800156
CID80;6;OLIVINE;0.0111116021238938;0.03645318586
CID81;7;OLIVINE;0.0061469591495575;0.0421801942999999
CID82;8;OLIVINE;0.0097657859203539;0.07479452408
CID83;9;OLIVINE;0.014667046938053;0.04698168262
CID84;10;OLIVINE;0.0079631428884955;0.06525519251
CID85;11;OLIVINE;0.0117947062743362;0.07932829878
CID86;12;OLIVINE;0.0219634463628318;0.08459122242
CID87;13;OLIVINE;0.0032771682327433;0.01311347025
CID88;14;OLIVINE;0.0075887115955752;0.02274793726
CID89;15;OLIVINE;0.0045017239849557;0.0158498319199999
CID90;16;OLIVINE;0.0048050392902654;0.02236069822
CID91;17;OLIVINE;0.0063471844150442;0.04969551388
CID92;18;OLIVINE;0.0060759920734513;0.02778432619
CID93;19;OLIVINE;0.0068531935141592;0.05582621465
CID94;20;OLIVINE;0.0068366264061946;0.04372130751
CID95;21;OLIVINE;0.0223247560973451;0.0853985961199999
CID96;22;OLIVINE;0.009620123938053;0.08052042458
CID97;23;OLIVINE;0.0082697575973451;0.0714515366
CID98;24;OLIVINE;0.0119443844159292;0.06220287707
CID99;25;OLIVINE;0.0068187927778761;0.04368145693
CID100;26;OLIVINE;0.0054269557522123;0.01212693965
CID101;27;OLIVINE;0.0074720884955752;0.01669694215
CID102;28;OLIVINE;0.0094330336725663;0.08010235735
CID103;29;OLIVINE;0.0051668201106194;0.02761931718
CID104;30;OLIVINE;0.0099403496725663;0.0392192835999999
CID105;31;OLIVINE;0.0059165862106194;0.02239664387
CID106;32;OLIVINE;0.0087884587769911;0.0288140585099999
CID107;33;OLIVINE;0.0086583280752212;0.03542135359
CID108;34;OLIVINE;0.0049114859522123;0.02798191046
CID75;1;BIOMASS;0.0195160257964601;0.1760069403
CID76;2;BIOMASS;0.0158847846106194;0.1693985062
CID77;3;BIOMASS;0.0177364624867256;0.1735362193
CID78;4;BIOMASS;0.0301355279734513;0.2012428611
CID79;5;BIOMASS;0.0189402593274336;0.1786625343
CID80;6;BIOMASS;0.0219313014247787;0.1829099015
CID81;7;BIOMASS;0.0150208470353982;0.1659621262
CID82;8;BIOMASS;0.0186396737964601;0.198576456
CID83;9;BIOMASS;0.0254711124247787;0.1932562154
CID84;10;BIOMASS;0.0168370307699115;0.1890371245
CID85;11;BIOMASS;0.0206685941504424;0.2031102306999999
CID86;12;BIOMASS;0.0308373342477876;0.2083731544
CID87;13;BIOMASS;0.014096867539823;0.1595701859
CID88;14;BIOMASS;0.0184084109026548;0.1692046529
CID89;15;BIOMASS;0.0153214232920354;0.1623065476
CID90;16;BIOMASS;0.0156247385929203;0.1688174139
CID91;17;BIOMASS;0.0152210723008849;0.1734774458
CID92;18;BIOMASS;0.0168800575575221;0.1740588589
CID93;19;BIOMASS;0.01572708139823;0.1796081466
CID94;20;BIOMASS;0.0157105142920354;0.1675032395
CID95;21;BIOMASS;0.0311986439823008;0.2091805281
CID96;22;BIOMASS;0.0184940118230088;0.2043023565
CID97;23;BIOMASS;0.0171436454778761;0.1952334684999999
CID98;24;BIOMASS;0.0208182723008849;0.185984809
CID99;25;BIOMASS;0.0156926806637168;0.1674633889
CID100;26;BIOMASS;0.0184235187699115;0.1634480205
CID101;27;BIOMASS;0.0222159755044247;0.1777129416
CID102;28;BIOMASS;0.0183069215575221;0.2038842893
CID103;29;BIOMASS;0.0145237610265486;0.1570303265
CID104;30;BIOMASS;0.0190991376637168;0.1663211921
CID105;31;BIOMASS;0.0160080804159292;0.1603674944999999
CID106;32;BIOMASS;0.0188799529823008;0.1667849091
CID107;33;BIOMASS;0.0180152689911504;0.1648323629
CID108;34;BIOMASS;0.0140702739469026;0.155083819
CID75;1;CLAY;0.0170555192212389;0.07655066239
CID76;2;CLAY;0.0141637514601769;0.07284512852
CID77;3;CLAY;0.0160154293362831;0.0769828416099999
CID78;4;CLAY;0.0284144948230088;0.1046894834
CID79;5;CLAY;0.0166862429203539;0.07589823623
CID80;6;CLAY;0.0202102682743362;0.08635652383
CID81;7;CLAY;0.0125603404601769;0.06650584831
CID82;8;CLAY;0.0110498563805309;0.03934767767
CID83;9;CLAY;0.0232170960176991;0.09049191729
CID84;10;CLAY;0.0102958074955752;0.04202774473
CID85;11;CLAY;0.0130787767345132;0.04388145237
CID86;12;CLAY;0.0268333801327433;0.09093088932
CID87;13;CLAY;0.0130665124601769;0.07106536617
CID88;14;CLAY;0.0173780558230088;0.08069983318
CID89;15;CLAY;0.0142910682123893;0.07380172784
CID90;16;CLAY;0.0139037054424778;0.07226403619
CID91;17;CLAY;0.0112171181858407;0.05603518078
CID92;18;CLAY;0.0146260411504424;0.07129456086
CID93;19;CLAY;0.0106613958053097;0.04979339198
CID94;20;CLAY;0.0132500077168141;0.0680469615199999
CID95;21;CLAY;0.0271946898672566;0.09173826302
CID96;22;CLAY;0.0094975096283185;0.02868130464
CID97;23;CLAY;0.0095538280619469;0.03600469019
CID98;24;CLAY;0.0168143181858407;0.06854254397
CID99;25;CLAY;0.0132321740884955;0.06800711094
CID100;26;CLAY;0.0173931636902654;0.07494320081
CID101;27;CLAY;0.0211856204247787;0.08920812185
CID102;28;CLAY;0.0093104193628318;0.02826323741
CID103;29;CLAY;0.0141644771769911;0.08205985964
CID104;30;CLAY;0.0187398538141592;0.09135072529
CID105;31;CLAY;0.0157059304336283;0.08034853979
CID106;32;CLAY;0.018577803;0.08676595443
CID107;33;CLAY;0.0176559851415929;0.08986189605
CID108;34;CLAY;0.0137109900973451;0.08011335215
