From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;30;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;200.46318492735008
2;16;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.24143835330001
3;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;204.49602739332008
4;12;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;46.06592465970001
6;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;63.31335616620001
7;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;99.94777396380002
12;1;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;143.69948629875006
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.708047947235
14;27;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;408.4086986196751
15;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;83.44263698725501
16;3;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;140.23602739332006
17;20;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;39.73458904002001
18;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;64.26000000000002
20;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;103.99458904002005
21;12;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.76369862860002
24;7;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;42.79109589090001
25;38;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.76369862860002
26;36;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;492.6372945062401
27;26;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;450.7631506716751
29;32;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;91.25856164007004
30;39;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;257.2268835559501
31;35;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;251.50684927860007
32;31;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;205.6592465368201
33;32;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;87.32876709150003
34;29;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;39.73458904002001
35;47;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;251.50684927860007
36;43;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;492.6372945062401
38;71;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;264.2534545215337
39;68;32INCH_CO2_OFFSHORE;MODE_1;1;1;LL;257.2268835559501
