From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;25;12INCH_CO2_ONSHORE;1;LL;1.0
2;16;12INCH_CO2_ONSHORE;1;LL;1.0
3;14;24INCH_CO2_ONSHORE;1;LL;1.0
4;12;6INCH_CO2_ONSHORE;1;LL;1.0
5;2;6INCH_CO2_ONSHORE;1;LL;1.0
6;3;9INCH_CO2_ONSHORE;1;LL;1.0
7;25;12INCH_CO2_ONSHORE;1;LL;1.0
8;23;12INCH_CO2_ONSHORE;1;LL;1.0
9;3;16INCH_CO2_ONSHORE;1;LL;1.0
10;8;9INCH_CO2_ONSHORE;1;LL;1.0
11;9;16INCH_CO2_ONSHORE;1;LL;1.0
12;21;9INCH_CO2_ONSHORE;1;LL;1.0
13;15;9INCH_CO2_ONSHORE;1;LL;1.0
14;27;24INCH_CO2_ONSHORE;1;LL;1.0
15;14;9INCH_CO2_ONSHORE;1;LL;1.0
16;3;12INCH_CO2_ONSHORE;1;LL;1.0
17;20;9INCH_CO2_ONSHORE;1;LL;1.0
18;2;9INCH_CO2_ONSHORE;1;LL;1.0
19;17;9INCH_CO2_ONSHORE;1;LL;1.0
20;38;12INCH_CO2_ONSHORE;1;LL;1.0
21;1;12INCH_CO2_ONSHORE;1;LL;1.0
22;28;9INCH_CO2_ONSHORE;1;LL;1.0
23;11;12INCH_CO2_ONSHORE;1;LL;1.0
24;7;6INCH_CO2_ONSHORE;1;LL;1.0
25;38;16INCH_CO2_ONSHORE;1;LL;1.0
26;36;28INCH_CO2_ONSHORE;1;LL;1.0
27;26;24INCH_CO2_ONSHORE;1;LL;1.0
28;11;12INCH_CO2_ONSHORE;1;LL;1.0
29;37;9INCH_CO2_ONSHORE;1;LL;1.0
30;39;9INCH_CO2_ONSHORE;1;LL;1.0
31;35;12INCH_CO2_ONSHORE;1;LL;1.0
32;31;9INCH_CO2_ONSHORE;1;LL;1.0
33;32;9INCH_CO2_ONSHORE;1;LL;1.0
34;37;9INCH_CO2_ONSHORE;1;LL;1.0
35;48;16INCH_CO2_OFFSHORE;1;LL;1.0
36;43;28INCH_CO2_OFFSHORE;1;LL;1.0
37;63;9INCH_CO2_OFFSHORE;1;LL;1.0
38;71;24INCH_CO2_OFFSHORE;1;LL;1.0
39;68;24INCH_CO2_OFFSHORE;1;LL;1.0
