J;M;OBJ_WEIGHT;INV_COEFF
NO_ACTION;CAPEX;1;0.0
INCUMBENT_STEELBFBOF;CAPEX;1;3422920.0
CCS_STEELBFBOF;CAPEX;1;758620.0
INCUMBENT_CEMENT;CAPEX;1;0.0
CCS_CEMENT;CAPEX;1;81152.92404434877
BIOMASS_CEMENT;CAPEX;1;0.0
CCS_BIOMASS_CEMENT;CAPEX;1;81152.92404434877
MINERAL_CEMENT;CAPEX;1;113458.65372976071
BIOMASS_MINERAL_CEMENT;CAPEX;1;113458.65372976071
CCS_BIOMASS_MINERAL_CEMENT;CAPEX;1;132441.8704859055
CCS_MINERAL_CEMENT;CAPEX;1;132441.8704859055
CALCINED_CLAY_CEMENT;CAPEX;1;20099.45682035788
CALCINED_CLAY_BIOMASS_CEMENT;CAPEX;1;20099.45682035788
CCS_CALCINED_CLAY_CEMENT;CAPEX;1;77122.19184424664
CCS_CALCINED_CLAY_BIOMASS_CEMENT;CAPEX;1;77122.19184424664
NET;CAPEX;1;505146.39005770267
SMALL_CO2_COMPRESSOR;CAPEX;1;1950.0
LARGE_CO2_COMPRESSOR;CAPEX;1;19500.0
XL_CO2_COMPRESSOR;CAPEX;1;195000.0
XXL_CO2_COMPRESSOR;CAPEX;1;1950000.0
XXXL_CO2_COMPRESSOR;CAPEX;1;19500000.0
INJ_WELL;CAPEX;1;66000.0
SALT_CAVERN;CAPEX;1;32000.0
PRES_CYL_VESSEL;CAPEX;1;1145.0
NO_ACTION;OPEX;1;0.0
INCUMBENT_STEELBFBOF;OPEX;1;402525.1
CCS_STEELBFBOF;OPEX;1;114014.89999999997
INCUMBENT_CEMENT;OPEX;1;0.0
CCS_CEMENT;OPEX;1;4154.977848954213
BIOMASS_CEMENT;OPEX;1;0.0
CCS_BIOMASS_CEMENT;OPEX;1;4154.977848954213
MINERAL_CEMENT;OPEX;1;7018.661282249717
BIOMASS_MINERAL_CEMENT;OPEX;1;7018.661282249717
CCS_BIOMASS_MINERAL_CEMENT;OPEX;1;7929.855686544668
CCS_MINERAL_CEMENT;OPEX;1;7929.855686544668
CALCINED_CLAY_CEMENT;OPEX;1;2537.4198305983828
CALCINED_CLAY_BIOMASS_CEMENT;OPEX;1;2537.4198305983828
CCS_CALCINED_CLAY_CEMENT;OPEX;1;5274.511111745038
CCS_CALCINED_CLAY_BIOMASS_CEMENT;OPEX;1;5274.511111745038
NET;OPEX;1;33253.359333559994
SMALL_CO2_COMPRESSOR;OPEX;1;78.0
LARGE_CO2_COMPRESSOR;OPEX;1;780.0
XL_CO2_COMPRESSOR;OPEX;1;7800.0
XXL_CO2_COMPRESSOR;OPEX;1;78000.0
XXXL_CO2_COMPRESSOR;OPEX;1;780000.0
SALT_CAVERN;OPEX;1;1280.0
PRES_CYL_VESSEL;OPEX;1;34.0
