OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR;latitude;longitude;parent_name
CID93;-1.904785;36.966885;1;CEMENT;11;0;0;1;1;0;1;1;0;36.966885;-1.904785;LafargeHolcim Ltd
CID94;-6.073448;36.618249;2;CEMENT;11;0;0;1;1;0;1;1;0;36.618249;-6.073448;LafargeHolcim Ltd
CID95;-3.901136;40.009935;3;CEMENT;11;0;0;1;1;0;1;1;0;40.009935;-3.901136;LafargeHolcim Ltd
CID96;2.183652;41.474698;4;CEMENT;11;0;0;1;1;0;1;1;0;41.474698;2.183652;LafargeHolcim Ltd
CID97;-0.246962;39.663613;5;CEMENT;11;0;0;1;1;0;1;1;0;39.663613;-0.246962;LafargeHolcim Ltd
TID29;-8.663498253;41.13424079;6;TERMINAL;30;0;1;1;1;0;1;1;0;;;
TID30;-8.733260846;42.22657922;7;TERMINAL;30;0;1;1;1;0;1;1;0;;;
TID31;-9.230709277;38.65399112;8;TERMINAL;30;0;1;1;1;0;1;1;0;;;
TID32;-6.836272132;37.13771839;9;TERMINAL;30;0;1;1;1;0;1;1;0;;;
TID33;-8.672211406;37.0911769;10;TERMINAL;30;0;1;1;1;0;1;1;0;;;
TID34;-6.264301724;36.59514261;11;TERMINAL;30;0;1;1;1;0;1;1;0;;;
SID125;-9.314880884;41.74543596;12;STORAGE;20;47;0;0;1;0;1;1;0;;;
SID126;-9.111930411;41.70771411;13;STORAGE;20;82;0;0;1;0;1;1;0;;;
SID127;-9.31414525;41.61267248;14;STORAGE;20;512;0;0;1;0;1;1;0;;;
SID128;-9.086832549;41.50837801;15;STORAGE;20;421;0;0;1;0;1;1;0;;;
SID129;-9.035248971;41.30790522;16;STORAGE;20;172;0;0;1;0;1;1;0;;;
SID130;-9.126299562;41.45862027;17;STORAGE;20;166;0;0;1;0;1;1;0;;;
SID131;-9.127339734;41.12663299;18;STORAGE;20;378;0;0;1;0;1;1;0;;;
SID132;-8.922661842;41.09598137;19;STORAGE;20;134;0;0;1;0;1;1;0;;;
SID133;-9.223876447;40.62447075;20;STORAGE;20;603;0;0;1;0;1;1;0;;;
SID134;-9.039894757;40.51187346;21;STORAGE;20;240;0;0;1;0;1;1;0;;;
SID135;-9.306395747;40.4087355;22;STORAGE;20;323;0;0;1;0;1;1;0;;;
SID136;-9.026874008;40.32061279;23;STORAGE;20;335;0;0;1;0;1;1;0;;;
SID137;-9.485219826;40.17655026;24;STORAGE;20;211;0;0;1;0;1;1;0;;;
SID138;-9.486527492;40.16902891;25;STORAGE;20;68;0;0;1;0;1;1;0;;;
SID139;-9.313879323;40.14488738;26;STORAGE;20;157;0;0;1;0;1;1;0;;;
SID140;-9.187661843;40.03689421;27;STORAGE;20;10;0;0;1;0;1;1;0;;;
SID141;-9.21104047;39.94828841;28;STORAGE;20;106;0;0;1;0;1;1;0;;;
SID142;-9.262704784;39.8999413;29;STORAGE;20;10;0;0;1;0;1;1;0;;;
SID143;-9.345183382;39.82818359;30;STORAGE;20;5;0;0;1;0;1;1;0;;;
SID144;-9.300848103;39.71735804;31;STORAGE;20;1024;0;0;1;0;1;1;0;;;
SID145;-8.969029243;39.62591193;32;STORAGE;20;182;0;0;1;0;1;1;0;;;
SID146;-9.023099386;39.39648525;33;STORAGE;20;27;0;0;1;0;1;1;0;;;
SID147;-8.951758457;38.34034365;34;STORAGE;20;29;0;0;1;0;1;1;0;;;
SID148;-8.82748819;38.27197658;35;STORAGE;20;15;0;0;1;0;1;1;0;;;
SID149;-8.954695236;38.20444252;36;STORAGE;20;19;0;0;1;0;1;1;0;;;
SID150;-9.034032476;38.13253649;37;STORAGE;20;22;0;0;1;0;1;1;0;;;
SID151;-8.398951181;36.78875451;38;STORAGE;20;183;0;0;1;0;1;1;0;;;
SID152;-8.398951181;36.78875451;39;STORAGE;20;662;0;0;1;0;1;1;0;;;
SID153;-7.729175523;36.79973559;40;STORAGE;20;86;0;0;1;0;1;1;0;;;
SID154;-7.566468288;36.90185608;41;STORAGE;20;38;0;0;1;0;1;1;0;;;
SID155;-7.324579604;36.7747261;42;STORAGE;20;210;0;0;1;0;1;1;0;;;
SID156;-7.431036506;36.55563772;43;STORAGE;20;68;0;0;1;0;1;1;0;;;
