Description;VID;Latitude;Longitude
Felsopeteny (Hungary);CLID1;47.88896359;19.19744525
Romhany (Hungary);CLID2;47.92295888;19.25781441
Bartosova Lehotka (Slovakia);CLID3;48.65259777;18.91369864
Halicska (Slovakia);CLID4;48.3654678;19.6049046
Breznicka (Slovakia);CLID5;48.42309979;19.73470554
Pozdisovce (Slovakia);CLID6;48.72601481;21.85960141
Kolbuszowa (Poland);CLID7;50.24421547;21.77615789
Dabrowa Tarnowska (Poland);CLID8;50.17472142;20.98571783
Wyszonowice (Poland);CLID9;50.7802922;17.16135271
Zarow (Poland);CLID10;50.94088791;16.49476799
Zebrzydowa (Poland);CLID11;51.2301887;15.38753223
Czerwona Woda (Poland);CLID12;51.254947;15.21862185
Znaim (Czech Republic);CLID13;48.85589875;16.05329125
Kriechbaum (Austria);CLID14;48.30894796;14.61983581
Karlsbad (Czech Republic);CLID15;50.23425202;12.86917963
Horni Briza (Czech Republic);CLID16;49.83993915;13.35556674
Tirschenreuth (Germany);CLID17;49.88209993;12.327718
Kamenz (Germany);CLID18;51.27575883;14.10176382
Kronach (Germany);CLID19;50.23381122;11.32500328
Kemmlitz (Germany);CLID20;51.22761392;12.99308947
Merseburg (Germany);CLID21;51.39328755;11.97710558
Saale (Germany);CLID22;51.17641883;11.80257551
Rönne (Denmark);CLID23;55.10113359;14.70876083
Oberwinter (Germany);CLID24;50.61131736;7.208383329
Haut-Fays(Beglium);CLID25;50.00150758;5.017549973
Nohfelden (Germany);CLID26;49.58795719;7.141966251
Geisenheim (Germany);CLID27;49.986148;7.966224759
Larnage (France);CLID28;45.10051816;4.865850618
Kingsteignton, NEWTON ABBOT, Devon (UK);CLID29;50.551808;-3.611522
Chudleigh Knighton, NEWTON ABBOT, Devon (UK);CLID30;50.579888;-3.632679
Chudleigh Knighton, NEWTON ABBOT, Devon (UK);CLID31;50.582860;-3.638785
TORRINGTON, Devon (UK);CLID32;50.885728;-4.108260
Chudleigh Road, Kingsteignton, NEWTON ABBOT, Devon (UK);CLID33;50.556344;-3.611889
Chudleigh Road, Kingsteignton, NEWTON ABBOT, Devon (UK);CLID34;50.562782;-3.608113
Kingsteignton, NEWTON ABBOT, Devon (UK);CLID35;50.575948;-3.634661
TORRINGTON, Devon (UK);CLID36;50.887367;-4.112102
Kingsteignton, NEWTON ABBOT, Devon (UK);CLID37;50.567934;-3.622452
Teigngrace, Kingsteignton, NEWTON ABBOT, Devon (UK);CLID38;50.552935;-3.633865
TORRINGTON, Devon (UK);CLID39;50.889194;-4.115526
WAREHAM, Dorset (UK);CLID40;50.645981;-2.104920
Coxside, PLYMOUTH, Devon (UK);CLID41;50.364569;-4.125638
Heathfield, NEWTON ABBOT, Devon (UK);CLID42;50.573448;-3.630126
Povington, WAREHAM, Dorset (UK);CLID43;50.642542;-2.149786
Chudleigh Knighton, NEWTON ABBOT, Devon (UK);CLID44;50.581467;-3.630361
Chudleigh Road, Kingsteignton, NEWTON ABBOT, Devon (UK);CLID45;50.570072;-3.614264
Furzebrook, WAREHAM, Dorset (UK);CLID46;50.650407;-2.112964
Kingsteignton, NEWTON ABBOT, Devon (UK);CLID47;50.544147;-3.635255
WAREHAM, Dorset (UK);CLID48;50.708544;-2.153254
Burela kaolin deposit (Spain);CLID49;43.650291;-7.377583
