end_use_tech,grid,Major Time,Scenario,number
NET,1,1,LL,5000
NET,2,1,LL,5000
NET,3,1,LL,5000
NET,4,1,LL,5000
NET,5,1,LL,5000
NET,6,1,LL,5000
NET,7,1,LL,5000
NET,8,1,LL,5000
NET,9,1,LL,5000
NET,10,1,LL,5000
NET,11,1,LL,5000
NET,12,1,LL,5000
NET,13,1,LL,5000
NET,14,1,LL,5000
NET,15,1,LL,5000
NET,16,1,LL,5000
NET,17,1,LL,5000
NET,18,1,LL,5000
NET,19,1,LL,5000
NET,20,1,LL,5000
NET,21,1,LL,5000
NET,22,1,LL,5000
NET,23,1,LL,5000
NET,24,1,LL,5000
NET,25,1,LL,5000
NET,26,1,LL,5000
NET,27,1,LL,5000
NET,28,1,LL,5000
NET,29,1,LL,5000
NET,30,1,LL,5000
NET,31,1,LL,5000
NET,32,1,LL,5000
NET,33,1,LL,5000
NET,34,1,LL,5000
NET,35,1,LL,5000
NET,36,1,LL,5000
NET,37,1,LL,5000
NET,38,1,LL,5000
NET,39,1,LL,5000
NET,40,1,LL,5000
NET,41,1,LL,5000
NET,42,1,LL,5000
NET,43,1,LL,5000
NET,44,1,LL,5000
NET,45,1,LL,5000
NET,46,1,LL,5000
NET,47,1,LL,5000
NET,48,1,LL,5000
NET,49,1,LL,5000
NET,50,1,LL,5000
NET,51,1,LL,5000
NET,52,1,LL,5000
NET,53,1,LL,5000
NET,54,1,LL,5000
NET,55,1,LL,5000
NET,56,1,LL,5000
NET,57,1,LL,5000
NET,58,1,LL,5000
NET,59,1,LL,5000
NET,60,1,LL,5000
NET,61,1,LL,5000
NET,62,1,LL,5000
NET,63,1,LL,5000
NET,64,1,LL,5000
NET,65,1,LL,5000
NET,66,1,LL,5000
NET,67,1,LL,5000
NET,68,1,LL,5000
NET,69,1,LL,5000
NET,70,1,LL,5000
NET,71,1,LL,5000
NET,72,1,LL,5000
NET,73,1,LL,5000
NET,74,1,LL,5000
NET,75,1,LL,5000
NET,76,1,LL,5000
NET,77,1,LL,5000
NET,78,1,LL,5000
NET,79,1,LL,5000
NET,80,1,LL,5000
NET,81,1,LL,5000
NET,82,1,LL,5000
NET,83,1,LL,5000
NET,84,1,LL,5000
NET,85,1,LL,5000
NET,86,1,LL,5000
NET,87,1,LL,5000
NET,88,1,LL,5000
NET,89,1,LL,5000
NET,90,1,LL,5000
NET,91,1,LL,5000
NET,92,1,LL,5000
NET,93,1,LL,5000
NET,94,1,LL,5000
NET,95,1,LL,5000
NET,96,1,LL,5000
NET,97,1,LL,5000
NET,98,1,LL,5000
NET,99,1,LL,5000
NET,100,1,LL,5000
NET,101,1,LL,5000
NET,102,1,LL,5000
NET,103,1,LL,5000
NET,104,1,LL,5000
NET,105,1,LL,5000
NET,106,1,LL,5000
NET,107,1,LL,5000
NET,108,1,LL,5000
NET,109,1,LL,5000
NET,110,1,LL,5000
NET,111,1,LL,5000
NET,112,1,LL,5000
NET,113,1,LL,5000
NET,114,1,LL,5000
NET,115,1,LL,5000
NET,116,1,LL,5000
NET,117,1,LL,5000
NET,118,1,LL,5000
NET,119,1,LL,5000
NET,120,1,LL,5000
NET,121,1,LL,5000
NET,122,1,LL,5000
